| time |reset|ARegister|DRegister|PC[]|RAM16K[0]|RAM16K[1]|RAM16K[2]|
| 0    |  0  |       0 |       0 |   0|       0 |       0 |       0 |
| 1    |  0  |       0 |       0 |   1|       0 |       0 |       0 |
| 2    |  0  |       0 |       0 |   2|       0 |       0 |       0 |
| 3    |  0  |       5 |       0 |   3|       0 |       0 |       0 |
| 4    |  0  |       5 |       5 |   4|       0 |       0 |       0 |
| 5    |  0  |       1 |       5 |   5|       0 |       0 |       0 |
| 6    |  0  |       1 |       5 |   6|       0 |       5 |       0 |
| 7    |  0  |      10 |       5 |   7|       0 |       5 |       0 |
| 8    |  0  |      10 |      10 |   8|       0 |       5 |       0 |
| 9    |  0  |       2 |      10 |   9|       0 |       5 |       0 |
| 10   |  0  |       2 |      10 |  10|       0 |       5 |      10 |
| 11   |  0  |       2 |      10 |  11|       0 |       5 |      10 |
| 12   |  0  |       2 |      10 |  12|       0 |       5 |      10 |
| 13   |  0  |      22 |      10 |  13|       0 |       5 |      10 |
| 14   |  0  |      22 |      10 |  14|       0 |       5 |      10 |
| 15   |  0  |       1 |      10 |  15|       0 |       5 |      10 |
| 16   |  0  |       1 |       5 |  16|       0 |       5 |      10 |
| 17   |  0  |       0 |       5 |  17|       0 |       5 |      10 |
| 18   |  0  |       0 |       5 |  18|       5 |       5 |      10 |
| 19   |  0  |       2 |       5 |  19|       5 |       5 |      10 |
| 20   |  0  |       2 |       5 |  20|       5 |       5 |       9 |
| 21   |  0  |      10 |       5 |  21|       5 |       5 |       9 |
| 22   |  0  |      10 |       5 |  10|       5 |       5 |       9 |
| 23   |  0  |       2 |       5 |  11|       5 |       5 |       9 |
| 24   |  0  |       2 |       9 |  12|       5 |       5 |       9 |
| 25   |  0  |      22 |       9 |  13|       5 |       5 |       9 |
| 26   |  0  |      22 |       9 |  14|       5 |       5 |       9 |
| 27   |  0  |       1 |       9 |  15|       5 |       5 |       9 |
| 28   |  0  |       1 |       5 |  16|       5 |       5 |       9 |
| 29   |  0  |       0 |       5 |  17|       5 |       5 |       9 |
| 30   |  0  |       0 |       5 |  18|      10 |       5 |       9 |
| 31   |  0  |       2 |       5 |  19|      10 |       5 |       9 |
| 32   |  0  |       2 |       5 |  20|      10 |       5 |       8 |
| 33   |  0  |      10 |       5 |  21|      10 |       5 |       8 |
| 34   |  0  |      10 |       5 |  10|      10 |       5 |       8 |
| 35   |  0  |       2 |       5 |  11|      10 |       5 |       8 |
| 36   |  0  |       2 |       8 |  12|      10 |       5 |       8 |
| 37   |  0  |      22 |       8 |  13|      10 |       5 |       8 |
| 38   |  0  |      22 |       8 |  14|      10 |       5 |       8 |
| 39   |  0  |       1 |       8 |  15|      10 |       5 |       8 |
| 40   |  0  |       1 |       5 |  16|      10 |       5 |       8 |
| 41   |  0  |       0 |       5 |  17|      10 |       5 |       8 |
| 42   |  0  |       0 |       5 |  18|      15 |       5 |       8 |
| 43   |  0  |       2 |       5 |  19|      15 |       5 |       8 |
| 44   |  0  |       2 |       5 |  20|      15 |       5 |       7 |
| 45   |  0  |      10 |       5 |  21|      15 |       5 |       7 |
| 46   |  0  |      10 |       5 |  10|      15 |       5 |       7 |
| 47   |  0  |       2 |       5 |  11|      15 |       5 |       7 |
| 48   |  0  |       2 |       7 |  12|      15 |       5 |       7 |
| 49   |  0  |      22 |       7 |  13|      15 |       5 |       7 |
| 50   |  0  |      22 |       7 |  14|      15 |       5 |       7 |
| 51   |  0  |       1 |       7 |  15|      15 |       5 |       7 |
| 52   |  0  |       1 |       5 |  16|      15 |       5 |       7 |
| 53   |  0  |       0 |       5 |  17|      15 |       5 |       7 |
| 54   |  0  |       0 |       5 |  18|      20 |       5 |       7 |
| 55   |  0  |       2 |       5 |  19|      20 |       5 |       7 |
| 56   |  0  |       2 |       5 |  20|      20 |       5 |       6 |
| 57   |  0  |      10 |       5 |  21|      20 |       5 |       6 |
| 58   |  0  |      10 |       5 |  10|      20 |       5 |       6 |
| 59   |  0  |       2 |       5 |  11|      20 |       5 |       6 |
| 60   |  0  |       2 |       6 |  12|      20 |       5 |       6 |
| 61   |  0  |      22 |       6 |  13|      20 |       5 |       6 |
| 62   |  0  |      22 |       6 |  14|      20 |       5 |       6 |
| 63   |  0  |       1 |       6 |  15|      20 |       5 |       6 |
| 64   |  0  |       1 |       5 |  16|      20 |       5 |       6 |
| 65   |  0  |       0 |       5 |  17|      20 |       5 |       6 |
| 66   |  0  |       0 |       5 |  18|      25 |       5 |       6 |
| 67   |  0  |       2 |       5 |  19|      25 |       5 |       6 |
| 68   |  0  |       2 |       5 |  20|      25 |       5 |       5 |
| 69   |  0  |      10 |       5 |  21|      25 |       5 |       5 |
| 70   |  0  |      10 |       5 |  10|      25 |       5 |       5 |
| 71   |  0  |       2 |       5 |  11|      25 |       5 |       5 |
| 72   |  0  |       2 |       5 |  12|      25 |       5 |       5 |
| 73   |  0  |      22 |       5 |  13|      25 |       5 |       5 |
| 74   |  0  |      22 |       5 |  14|      25 |       5 |       5 |
| 75   |  0  |       1 |       5 |  15|      25 |       5 |       5 |
| 76   |  0  |       1 |       5 |  16|      25 |       5 |       5 |
| 77   |  0  |       0 |       5 |  17|      25 |       5 |       5 |
| 78   |  0  |       0 |       5 |  18|      30 |       5 |       5 |
| 79   |  0  |       2 |       5 |  19|      30 |       5 |       5 |
| 80   |  0  |       2 |       5 |  20|      30 |       5 |       4 |
| 81   |  0  |      10 |       5 |  21|      30 |       5 |       4 |
| 82   |  0  |      10 |       5 |  10|      30 |       5 |       4 |
| 83   |  0  |       2 |       5 |  11|      30 |       5 |       4 |
| 84   |  0  |       2 |       4 |  12|      30 |       5 |       4 |
| 85   |  0  |      22 |       4 |  13|      30 |       5 |       4 |
| 86   |  0  |      22 |       4 |  14|      30 |       5 |       4 |
| 87   |  0  |       1 |       4 |  15|      30 |       5 |       4 |
| 88   |  0  |       1 |       5 |  16|      30 |       5 |       4 |
| 89   |  0  |       0 |       5 |  17|      30 |       5 |       4 |
| 90   |  0  |       0 |       5 |  18|      35 |       5 |       4 |
| 91   |  0  |       2 |       5 |  19|      35 |       5 |       4 |
| 92   |  0  |       2 |       5 |  20|      35 |       5 |       3 |
| 93   |  0  |      10 |       5 |  21|      35 |       5 |       3 |
| 94   |  0  |      10 |       5 |  10|      35 |       5 |       3 |
| 95   |  0  |       2 |       5 |  11|      35 |       5 |       3 |
| 96   |  0  |       2 |       3 |  12|      35 |       5 |       3 |
| 97   |  0  |      22 |       3 |  13|      35 |       5 |       3 |
| 98   |  0  |      22 |       3 |  14|      35 |       5 |       3 |
| 99   |  0  |       1 |       3 |  15|      35 |       5 |       3 |
| 100  |  0  |       1 |       5 |  16|      35 |       5 |       3 |
| 101  |  0  |       0 |       5 |  17|      35 |       5 |       3 |
| 102  |  0  |       0 |       5 |  18|      40 |       5 |       3 |
| 103  |  0  |       2 |       5 |  19|      40 |       5 |       3 |
| 104  |  0  |       2 |       5 |  20|      40 |       5 |       2 |
| 105  |  0  |      10 |       5 |  21|      40 |       5 |       2 |
| 106  |  0  |      10 |       5 |  10|      40 |       5 |       2 |
| 107  |  0  |       2 |       5 |  11|      40 |       5 |       2 |
| 108  |  0  |       2 |       2 |  12|      40 |       5 |       2 |
| 109  |  0  |      22 |       2 |  13|      40 |       5 |       2 |
| 110  |  0  |      22 |       2 |  14|      40 |       5 |       2 |
| 111  |  0  |       1 |       2 |  15|      40 |       5 |       2 |
| 112  |  0  |       1 |       5 |  16|      40 |       5 |       2 |
| 113  |  0  |       0 |       5 |  17|      40 |       5 |       2 |
| 114  |  0  |       0 |       5 |  18|      45 |       5 |       2 |
| 115  |  0  |       2 |       5 |  19|      45 |       5 |       2 |
| 116  |  0  |       2 |       5 |  20|      45 |       5 |       1 |
| 117  |  0  |      10 |       5 |  21|      45 |       5 |       1 |
| 118  |  0  |      10 |       5 |  10|      45 |       5 |       1 |
| 119  |  0  |       2 |       5 |  11|      45 |       5 |       1 |
| 120  |  0  |       2 |       1 |  12|      45 |       5 |       1 |
| 121  |  0  |      22 |       1 |  13|      45 |       5 |       1 |
| 122  |  0  |      22 |       1 |  14|      45 |       5 |       1 |
| 123  |  0  |       1 |       1 |  15|      45 |       5 |       1 |
| 124  |  0  |       1 |       5 |  16|      45 |       5 |       1 |
| 125  |  0  |       0 |       5 |  17|      45 |       5 |       1 |
| 126  |  0  |       0 |       5 |  18|      50 |       5 |       1 |
| 127  |  0  |       2 |       5 |  19|      50 |       5 |       1 |
| 128  |  0  |       2 |       5 |  20|      50 |       5 |       0 |
| 129  |  0  |      10 |       5 |  21|      50 |       5 |       0 |
| 130  |  0  |      10 |       5 |  10|      50 |       5 |       0 |
