| time |reset|ARegister|DRegister|PC[]|RAM16K[0]|RAM16K[1]|RAM16K[2]|
| 0    |  0  |       0 |       0 |   0|       0 |       0 |       0 |
| 1    |  0  |      16 |       0 |   1|       0 |       0 |       0 |
| 2    |  0  |      16 |       0 |   2|       0 |       0 |       0 |
| 3    |  0  |      17 |       0 |   3|       0 |       0 |       0 |
| 4    |  0  |      17 |       0 |   4|       0 |       0 |       0 |
| 5    |  0  |      16 |       0 |   5|       0 |       0 |       0 |
| 6    |  0  |      16 |       1 |   6|       0 |       0 |       0 |
| 7    |  0  |      10 |       1 |   7|       0 |       0 |       0 |
| 8    |  0  |      10 |      -9 |   8|       0 |       0 |       0 |
| 9    |  0  |      18 |      -9 |   9|       0 |       0 |       0 |
| 10   |  0  |      18 |      -9 |  10|       0 |       0 |       0 |
| 11   |  0  |      16 |      -9 |  11|       0 |       0 |       0 |
| 12   |  0  |      16 |       1 |  12|       0 |       0 |       0 |
| 13   |  0  |      17 |       1 |  13|       0 |       0 |       0 |
| 14   |  0  |      17 |       1 |  14|       0 |       0 |       0 |
| 15   |  0  |      16 |       1 |  15|       0 |       0 |       0 |
| 16   |  0  |      16 |       1 |  16|       0 |       0 |       0 |
| 17   |  0  |       4 |       1 |  17|       0 |       0 |       0 |
| 18   |  0  |       4 |       1 |   4|       0 |       0 |       0 |
| 19   |  0  |      16 |       1 |   5|       0 |       0 |       0 |
| 20   |  0  |      16 |       2 |   6|       0 |       0 |       0 |
| 21   |  0  |      10 |       2 |   7|       0 |       0 |       0 |
| 22   |  0  |      10 |      -8 |   8|       0 |       0 |       0 |
| 23   |  0  |      18 |      -8 |   9|       0 |       0 |       0 |
| 24   |  0  |      18 |      -8 |  10|       0 |       0 |       0 |
| 25   |  0  |      16 |      -8 |  11|       0 |       0 |       0 |
| 26   |  0  |      16 |       2 |  12|       0 |       0 |       0 |
| 27   |  0  |      17 |       2 |  13|       0 |       0 |       0 |
| 28   |  0  |      17 |       2 |  14|       0 |       0 |       0 |
| 29   |  0  |      16 |       2 |  15|       0 |       0 |       0 |
| 30   |  0  |      16 |       2 |  16|       0 |       0 |       0 |
| 31   |  0  |       4 |       2 |  17|       0 |       0 |       0 |
| 32   |  0  |       4 |       2 |   4|       0 |       0 |       0 |
| 33   |  0  |      16 |       2 |   5|       0 |       0 |       0 |
| 34   |  0  |      16 |       3 |   6|       0 |       0 |       0 |
| 35   |  0  |      10 |       3 |   7|       0 |       0 |       0 |
| 36   |  0  |      10 |      -7 |   8|       0 |       0 |       0 |
| 37   |  0  |      18 |      -7 |   9|       0 |       0 |       0 |
| 38   |  0  |      18 |      -7 |  10|       0 |       0 |       0 |
| 39   |  0  |      16 |      -7 |  11|       0 |       0 |       0 |
| 40   |  0  |      16 |       3 |  12|       0 |       0 |       0 |
| 41   |  0  |      17 |       3 |  13|       0 |       0 |       0 |
| 42   |  0  |      17 |       3 |  14|       0 |       0 |       0 |
| 43   |  0  |      16 |       3 |  15|       0 |       0 |       0 |
| 44   |  0  |      16 |       3 |  16|       0 |       0 |       0 |
| 45   |  0  |       4 |       3 |  17|       0 |       0 |       0 |
| 46   |  0  |       4 |       3 |   4|       0 |       0 |       0 |
| 47   |  0  |      16 |       3 |   5|       0 |       0 |       0 |
| 48   |  0  |      16 |       4 |   6|       0 |       0 |       0 |
| 49   |  0  |      10 |       4 |   7|       0 |       0 |       0 |
| 50   |  0  |      10 |      -6 |   8|       0 |       0 |       0 |
| 51   |  0  |      18 |      -6 |   9|       0 |       0 |       0 |
| 52   |  0  |      18 |      -6 |  10|       0 |       0 |       0 |
| 53   |  0  |      16 |      -6 |  11|       0 |       0 |       0 |
| 54   |  0  |      16 |       4 |  12|       0 |       0 |       0 |
| 55   |  0  |      17 |       4 |  13|       0 |       0 |       0 |
| 56   |  0  |      17 |       4 |  14|       0 |       0 |       0 |
